(149, 0.0644247362650372)
(485, 0.0579671027674894)
(406, 0.0579671027674894)
(155, 0.04792584505912556)
(99, 0.046622760061811874)
(148, 0.03849902194697474)
(72, 0.03342589350958747)
(119, 0.03309739705042736)
(234, 0.032076543416618364)
(480, 0.03177342779878822)
(336, 0.03177342779878822)
(74, 0.030897844592736146)
(483, 0.02808081491732395)
(378, 0.02808081491732395)
(244, 0.027810853556827553)
(277, 0.02772191933212742)
(268, 0.027627177746679887)
(395, 0.02707198893652718)
(316, 0.02707198893652718)
(482, 0.026772272205116243)
(364, 0.026772272205116243)
(154, 0.02573872193423643)
(286, 0.025449450073919966)
(479, 0.025385969919748508)
(322, 0.025385969919748508)
(269, 0.025272772948394584)
(471, 0.024858368281701182)
(405, 0.024858368281701182)
(490, 0.02480946639157766)
(476, 0.02480946639157766)
(275, 0.023988035055429346)
(279, 0.023454826814760743)
(400, 0.02341023493832317)
(386, 0.02341023493832317)
(236, 0.02301446539950014)
(3, 0.02263131227166415)
(272, 0.02181320099454309)
(276, 0.021536019310691712)
(368, 0.02095150765006837)
(328, 0.02095150765006837)
(399, 0.020276594024075)
(372, 0.020276594024075)
(353, 0.01974587625580959)
(313, 0.01974587625580959)
(370, 0.01907697473837322)
(356, 0.01907697473837322)
(288, 0.01863511955303565)
(2, 0.01735801970711509)
(354, 0.017146324451545958)
(327, 0.017146324451545958)
(396, 0.01709200545573064)
(330, 0.01709200545573064)
(466, 0.01691326446881236)
(335, 0.01691326446881236)
(287, 0.01657629868563637)
(271, 0.0164844591570803)
(468, 0.01647221963604295)
(363, 0.01647221963604295)
(367, 0.016394232863336633)
(314, 0.016394232863336633)
(104, 0.01638917302558518)
(484, 0.015927026233878205)
(392, 0.015927026233878205)
(382, 0.015784177225327323)
(329, 0.015784177225327323)
(325, 0.015612892022737856)
(311, 0.015612892022737856)
(398, 0.015275118944841015)
(358, 0.015275118944841015)
(488, 0.014916715325601793)
(448, 0.014916715325601793)
(469, 0.014785593455810098)
(377, 0.014785593455810098)
(102, 0.014590521223809105)
(245, 0.014244215995502074)
(465, 0.01416625386745185)
(321, 0.01416625386745185)
(292, 0.014153585766285559)
(384, 0.013502057158897074)
(357, 0.013502057158897074)
(281, 0.013488789772302834)
(242, 0.013363304234889739)
(151, 0.011644885997990073)
(291, 0.011325803064496487)
(385, 0.011200664880424593)
(371, 0.011200664880424593)
(441, 0.010894193362241733)
(375, 0.010894193362241733)
(230, 0.010875928610202479)
(290, 0.01085051636437262)
(443, 0.010589691162305126)
(403, 0.010589691162305126)
(117, 0.010293739542400537)
(438, 0.010239797846396836)
(333, 0.010239797846396836)
(474, 0.010118601451049702)
(447, 0.010118601451049702)
(262, 0.009855148216712628)
(283, 0.009725876759182128)
(6, 0.009720304067637464)
(418, 0.0)
(417, 0.0)
(416, 0.0)
(415, 0.0)
(414, 0.0)
(413, 0.0)
(412, 0.0)
(411, 0.0)
(410, 0.0)
(409, 0.0)
(408, 0.0)
(401, 0.0)
(387, 0.0)
(373, 0.0)
(359, 0.0)
(345, 0.0)
(331, 0.0)
(317, 0.0)
(303, 0.0)
(265, 0.0)
(255, 0.0)
(240, 0.0)
(228, 0.0)
(226, 0.0)
(225, 0.0)
(223, 0.0)
(220, 0.0)
(213, 0.0)
(211, 0.0)
(210, 0.0)
(208, 0.0)
(205, 0.0)
(195, 0.0)
(183, 0.0)
(181, 0.0)
(180, 0.0)
(175, 0.0)
(171, 0.0)
(170, 0.0)
(169, 0.0)
(168, 0.0)
(167, 0.0)
(166, 0.0)
(165, 0.0)
(164, 0.0)
(163, 0.0)
(162, 0.0)
(161, 0.0)
(160, 0.0)
(159, 0.0)
(158, 0.0)
(157, 0.0)
(150, 0.0)
(138, 0.0)
(136, 0.0)
(135, 0.0)
(133, 0.0)
(130, 0.0)
(120, 0.0)
(108, 0.0)
(105, 0.0)
(94, 0.0)
(93, 0.0)
(90, 0.0)
(87, 0.0)
(86, 0.0)
(85, 0.0)
(84, 0.0)
(83, 0.0)
(82, 0.0)
(75, 0.0)
(70, 0.0)
(60, 0.0)
(55, 0.0)
(46, 0.0)
(45, 0.0)
(36, 0.0)
(35, 0.0)
(34, 0.0)
(33, 0.0)
(32, 0.0)
(31, 0.0)
(30, 0.0)
(29, 0.0)
(28, 0.0)
(27, 0.0)
(26, 0.0)
(25, 0.0)
(24, 0.0)
(23, 0.0)
(22, 0.0)
(21, 0.0)
(20, 0.0)
(18, 0.0)
(17, 0.0)
(16, 0.0)
(15, 0.0)
(14, 0.0)
(12, 0.0)
(1, 0.0)
